scheme,fold,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,n_test
random,0,mean,,,9.373046298501372,-2.4601737730556295e-05,0.05378310214375788,0.05378310214375788,79300
random,0,history_ridge,0.614059271558012,0.6369084987558045,7.402266043797667,0.376295985107475,0.4170036955751282,0.05378310214375788,79300
random,0,lgbm_chem_bio,0.5829331217862215,0.5808215194602769,7.620451387293887,0.3389861583936854,0.3934151477471287,0.05378310214375788,79300
random,0,lgbm_full,0.6337632318799695,0.6604820674036482,7.255846056139876,0.4007262155967286,0.4728073451193118,0.05378310214375788,79300
random,0,lgbm_study,0.6334382555391151,0.659123931360118,7.2636435520560765,0.39943750420960467,0.47337752800677646,0.05378310214375788,79300
random,0,lgbm_mono,0.664523070501753,0.7251221354930913,7.008642426392497,0.4408646293822407,0.5036013015972552,0.05378310214375788,79300
random,0,lgbm_all,0.6618711614621507,0.7275929769693786,7.027654820195747,0.4378269738915992,0.5016629245006701,0.05378310214375788,79300
random,0,lgbm_all_no_history,0.6360346913102439,0.6957803604053389,7.235094647220806,0.4041491086311547,0.44567946917362183,0.05378310214375788,79300
random,1,mean,,,9.423494677491822,-4.851185952503556e-06,0.05363177805800757,0.05363177805800757,79300
random,1,history_ridge,0.615128444051216,0.6300346893175398,7.43443003144618,0.37759440987440074,0.4194505510079821,0.05363177805800757,79300
random,1,lgbm_chem_bio,0.5824445781034164,0.5778349306594903,7.664186076962824,0.3385299145159941,0.3934147053219673,0.05363177805800757,79300
random,1,lgbm_full,0.6257831534948053,0.6596415325533169,7.352417372586746,0.39125075899145845,0.4777245164443856,0.05363177805800757,79300
random,1,lgbm_study,0.6268167158398917,0.6596056957241888,7.343230084999379,0.39277114604814556,0.47868299443407825,0.05363177805800757,79300
random,1,lgbm_mono,0.6555740429718588,0.7261124898649839,7.116294162589494,0.42972292733500095,0.49300144915203953,0.05363177805800757,79300
random,1,lgbm_all,0.6537980507093669,0.723515895995057,7.13265844021078,0.4270971499218281,0.4951227461459514,0.05363177805800757,79300
random,1,lgbm_all_no_history,0.629288505561799,0.6911731676420657,7.324561102145019,0.39585478485938697,0.42677097925682866,0.05363177805800757,79300
random,2,mean,,,9.340545865945238,-9.050532812082679e-08,0.05424968474148802,0.05424968474148802,79300
random,2,history_ridge,0.6170418307361989,0.6365858388070734,7.354789932829033,0.3799937456474938,0.42750785414074954,0.05424968474148802,79300
random,2,lgbm_chem_bio,0.5882584875093861,0.5826970211634832,7.558083752272845,0.34524484740375794,0.3998258171423421,0.05424968474148802,79300
random,2,lgbm_full,0.6383757160441506,0.6648455602228728,7.190321488873898,0.4074129697181409,0.4782130897985144,0.05424968474148802,79300
random,2,lgbm_study,0.6371489551093343,0.6661838417445823,7.199464435023654,0.405904988197785,0.47699328924090634,0.05424968474148802,79300
random,2,lgbm_mono,0.6670071693301548,0.7287859722259246,6.960273577570554,0.4447249691787415,0.5048909538923227,0.05424968474148802,79300
random,2,lgbm_all,0.6636224509879951,0.7305146443909025,6.987663678857547,0.44034612845990273,0.5059139627080103,0.05424968474148802,79300
random,2,lgbm_all_no_history,0.6407207237308244,0.6999262991428233,7.1733824531766945,0.4102017265866601,0.4520411485399934,0.05424968474148802,79300
cold_pair,0,mean,,,9.423125394649785,-0.0002932292512523027,0.05210302901290993,0.05210302901290993,79861
cold_pair,0,history_ridge,0.5660170614573019,0.5421248860291816,7.892804011621201,0.2982215528186152,0.3206181864365962,0.05210302901290993,79861
cold_pair,0,lgbm_chem_bio,0.5422596801067607,0.5222675557693953,7.9169039866768625,0.2939293737710247,0.31734060388814916,0.05210302901290993,79861
cold_pair,0,lgbm_full,0.5765598237427496,0.5631880379335829,7.7001209233897265,0.3320676482779481,0.3435157397173528,0.05210302901290993,79861
cold_pair,0,lgbm_study,0.5736468505202389,0.558807049403121,7.720260908071083,0.32856906954400866,0.3402005736046541,0.05210302901290993,79861
cold_pair,0,lgbm_mono,0.6221536992419595,0.6622734524286541,7.377949369884961,0.3867907043863157,0.3888992476916458,0.05210302901290993,79861
cold_pair,0,lgbm_all,0.6172692715863679,0.6646526684593743,7.417598243970814,0.3801822592091978,0.38451750367600146,0.05210302901290993,79861
