scheme,model,feature,family,gain
cold_cell,lgbm_all,te_cell,Screen history: in-fold mean ZIP,0.06775927131655153
cold_drug,lgbm_study,te_cell,Screen history: in-fold mean ZIP,0.06747224057496061
cold_cell,lgbm_all,te_drugcell_min,Screen history: in-fold mean ZIP,0.06744917332839294
cold_cell,lgbm_study,te_cell,Screen history: in-fold mean ZIP,0.0662689884772148
random,lgbm_study,te_cell,Screen history: in-fold mean ZIP,0.06433086533640671
cold_cell,lgbm_all_no_history,mono_inh_max_min,Monotherapy response,0.061180668010408924
random,lgbm_all_no_history,mono_inh_max_min,Monotherapy response,0.05913872697665403
cold_pair,lgbm_all_no_history,mono_inh_max_min,Monotherapy response,0.05885848448876574
cold_cell,lgbm_mono,n_drugcell_min_log,Screen history: in-fold counts,0.057329268941633794
cold_drug,lgbm_all_no_history,mono_inh_max_min,Monotherapy response,0.05631350835740246
cold_drug,lgbm_mono,n_drugcell_min_log,Screen history: in-fold counts,0.05510639815092578
cold_cell,lgbm_all,n_drugcell_min_log,Screen history: in-fold counts,0.054962102783860566
cold_pair,lgbm_mono,n_drugcell_min_log,Screen history: in-fold counts,0.05193233843373673
random,lgbm_mono,n_drugcell_min_log,Screen history: in-fold counts,0.04522705163778881
random,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.04445641549872551
cold_pair,lgbm_all,n_drugcell_min_log,Screen history: in-fold counts,0.04232785304945244
cold_drug,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.04102873338830815
random,lgbm_mono,te_drug_min,Screen history: in-fold mean ZIP,0.04057590770309598
cold_drug,lgbm_all,n_drugcell_min_log,Screen history: in-fold counts,0.039778229518434675
cold_cell,lgbm_mono,te_drug_min,Screen history: in-fold mean ZIP,0.03944198027587059
cold_pair,lgbm_all_no_history,mono_inh_mean_max,Monotherapy response,0.03941737142105281
cold_pair,lgbm_mono,te_drug_min,Screen history: in-fold mean ZIP,0.0391654045154885
cold_pair,lgbm_all_no_history,lineage,Biology: tissue lineage,0.03825786648600796
random,lgbm_all_no_history,mono_inh_mean_max,Monotherapy response,0.03825031782915946
cold_drug,lgbm_all_no_history,mono_inh_mean_max,Monotherapy response,0.03808857143308064
random,lgbm_all_no_history,lineage,Biology: tissue lineage,0.03797767593322829
cold_drug,lgbm_mono,te_drug_min,Screen history: in-fold mean ZIP,0.03763659368186392
cold_cell,lgbm_all_no_history,mono_headroom,Monotherapy response,0.03717507843739379
cold_cell,lgbm_all_no_history,mono_inh_mean_max,Monotherapy response,0.03700195374515683
cold_drug,lgbm_all_no_history,lineage,Biology: tissue lineage,0.03698372343292097
cold_cell,lgbm_all_no_history,lineage,Biology: tissue lineage,0.03666851470325009
cold_drug,lgbm_all_no_history,mono_headroom,Monotherapy response,0.036604545497218643
random,lgbm_all,mono_inh_mean_min,Monotherapy response,0.0360211191269881
cold_pair,lgbm_all,mono_inh_mean_min,Monotherapy response,0.035575109025751776
cold_pair,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.03546919217158781
cold_drug,lgbm_all,mono_inh_mean_min,Monotherapy response,0.03544841160978011
random,lgbm_all_no_history,mono_headroom,Monotherapy response,0.034686245376839564
cold_pair,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.034210310859819786
random,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.03376631774488034
cold_cell,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.03333833688690621
cold_drug,lgbm_mono,mono_inh_mean_min,Monotherapy response,0.0333076745028665
cold_cell,lgbm_full,te_drug_max,Screen history: in-fold mean ZIP,0.03302720056020423
cold_pair,lgbm_mono,mono_inh_mean_min,Monotherapy response,0.03286532126972141
random,lgbm_mono,mono_inh_mean_min,Monotherapy response,0.032848590982380084
cold_cell,lgbm_all,mono_inh_mean_min,Monotherapy response,0.03281067121233459
cold_drug,lgbm_full,te_cell,Screen history: in-fold mean ZIP,0.032538412757250945
cold_cell,lgbm_all_no_history,mono_bliss_expected,Monotherapy response,0.031896678449933394
cold_pair,lgbm_mono,te_drug_max,Screen history: in-fold mean ZIP,0.03171763489930902
cold_pair,lgbm_all_no_history,mono_inh_max_max,Monotherapy response,0.03151240343635405
cold_pair,lgbm_all_no_history,mono_bliss_expected,Monotherapy response,0.03142490517895157
cold_cell,lgbm_all_no_history,mono_inh_max_max,Monotherapy response,0.031144263016099735
cold_drug,lgbm_study,te_drug_max,Screen history: in-fold mean ZIP,0.031115309876142805
random,lgbm_all_no_history,mono_inh_max_max,Monotherapy response,0.03108646581106658
cold_drug,lgbm_mono,te_drug_max,Screen history: in-fold mean ZIP,0.03098755066166922
cold_cell,lgbm_mono,mono_inh_mean_min,Monotherapy response,0.030515370948952097
cold_pair,lgbm_all_no_history,mono_headroom,Monotherapy response,0.030351761717570452
cold_pair,lgbm_study,te_drug_max,Screen history: in-fold mean ZIP,0.02909743248788428
