scheme,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,pearson_sd,spearman_sd,rmse_sd,r2_sd,auprc_synergy_sd,prevalence_synergy_sd,model_label
random,mean,,,9.379028947312811,-9.847809670393559e-06,0.05388818831441783,0.05388818831441783,,,0.04179677498741349,1.2997107943892222e-05,0.00032207839856226013,0.00032207839856226013,Global mean
random,history_ridge,0.6154098487818089,0.6345096756268059,7.397162002690959,0.37796138020978987,0.4213207002412866,0.05388818831441783,0.0015110613090298227,0.003878808349444203,0.040064632204120425,0.0018759953819564028,0.005496128674717443,0.00032207839856226013,Screen history (ridge on in-fold means)
random,lgbm_chem_bio,0.5845453957996747,0.5804511570944167,7.614240405509851,0.34092030677114576,0.39555189007047936,0.05388818831441783,0.003224896318650903,0.002452112809148172,0.05332314738643668,0.0037521031943854636,0.003701329424765636,0.00032207839856226013,LightGBM: chemistry + biology
random,lgbm_full,0.6326407004729752,0.6616563867266126,7.2661949725335075,0.3997966481021093,0.47624831712073723,0.05388818831441783,0.006370888121726805,0.0027936974425645006,0.08154197650323479,0.00812110433923318,0.0029899652533995715,0.00032207839856226013,LightGBM: + screen history
random,lgbm_study,0.6324679754961138,0.661637822942963,7.268779357359704,0.3993712128185118,0.476351270560587,0.05388818831441783,0.005234011329911147,0.003944330036156799,0.07202029505856819,0.006567172018023514,0.0027103753415746346,0.00032207839856226013,LightGBM: + study
random,lgbm_mono,0.6623680942679222,0.7266735325279999,7.028403388850848,0.43843750863199443,0.5004979015472059,0.05388818831441783,0.006013487882042514,0.0018952576483179248,0.07986537087732902,0.007789961567462494,0.006524063123950375,0.00032207839856226013,LightGBM: + monotherapy
random,lgbm_all,0.6597638877198376,0.7272078391184461,7.049325646421358,0.43509008409111,0.5008998777848772,0.05388818831441783,0.005240244476878838,0.0035152337262625323,0.07488717338066478,0.007035750309000933,0.005435923927004041,0.00032207839856226013,LightGBM: + targets (all features)
random,lgbm_all_no_history,0.6353479735342892,0.6956266090634093,7.244346067514173,0.40340187335906724,0.44149719899014794,0.05388818831441783,0.005746963462900013,0.00437859079770508,0.07601274603022408,0.007202600547394778,0.013143968267446158,0.00032207839856226013,LightGBM: all features except screen history
cold_pair,mean,,,9.372068736858909,-0.00015967851844663392,0.05416981827308744,0.05416981827308744,,,0.04443070526872672,0.00013972034021393712,0.0025697273135835553,0.0025697273135835553,Global mean
cold_pair,history_ridge,0.5644844236010368,0.5437680319732198,7.819356811733115,0.3037696453997078,0.3178896963972138,0.05416981827308744,0.00891279529678131,0.003186457620212932,0.08425294508476709,0.01149071458577685,0.005130100785787633,0.0025697273135835553,Screen history (ridge on in-fold means)
cold_pair,lgbm_chem_bio,0.5496120718462163,0.5185829430432546,7.829810602009026,0.30191988635399286,0.3297859030253911,0.05416981827308744,0.009593932284900299,0.0034975246294444463,0.08554014251227342,0.010417188991009784,0.012955101456689527,0.0025697273135835553,LightGBM: chemistry + biology
cold_pair,lgbm_full,0.5737642630618495,0.5602370777514134,7.6871517625898464,0.3271106774456804,0.33481645392084086,0.05416981827308744,0.006175084284049355,0.0035277531120407706,0.020063440007413957,0.005539273061696268,0.00873447551261748,0.0025697273135835553,LightGBM: + screen history
