point_id,session,designation,point,proposition_id,proposition_reference,proposition_title,proposition_url,committee_url,link_evidence,comparison_status
HD01TU19:1,2025/26,TU19,1,HD03234,2025/26:234,En ny lag om kommunal hamnverksamhet,https://data.riksdagen.se/dokument/HD03234,https://data.riksdagen.se/dokument/HD01TU19,explicit_citation,document_level_only
HD01TU20:27,2025/26,TU20,27,HD03259,2025/26:259,Nationell planering för transportinfrastrukturen 2026-2037,https://data.riksdagen.se/dokument/HD03259,https://data.riksdagen.se/dokument/HD01TU20,explicit_citation,document_level_only
HD01TU4:1,2025/26,TU4,1,HC03171,2024/25:171,Effektiva sanktioner inom luftfarten,https://data.riksdagen.se/dokument/HC03171,https://data.riksdagen.se/dokument/HD01TU4,explicit_citation,document_level_only
HD01TU8:4,2025/26,TU8,4,HD0333,2025/26:33,Riksrevisionens rapport om statliga strategiska digitaliseringsprojekt,https://data.riksdagen.se/dokument/HD0333,https://data.riksdagen.se/dokument/HD01TU8,explicit_citation,document_level_only
HD01UFöU1:2,2025/26,UFöU1,2,HD036,2025/26:6,En tydlig beslutsordning för deltagande i Natos samlade verksamhet för avskräckning och försvar,https://data.riksdagen.se/dokument/HD036,https://data.riksdagen.se/dokument/HD01UF%C3%B6U1,explicit_citation,document_level_only
HD01UFöU2:1,2025/26,UFöU2,1,HD0325,2025/26:25,Svenskt bidrag till Natos avskräckning och försvar under 2026,https://data.riksdagen.se/dokument/HD0325,https://data.riksdagen.se/dokument/HD01UF%C3%B6U2,explicit_citation,document_level_only
HD01UFöU3:1,2025/26,UFöU3,1,HD03220,2025/26:220,Svenskt bidrag till Natos framskjutna närvaro i Finland,https://data.riksdagen.se/dokument/HD03220,https://data.riksdagen.se/dokument/HD01UF%C3%B6U3,explicit_citation,document_level_only
HD01UU10:6,2025/26,UU10,6,HD03115,2025/26:115,Verksamheten i Europeiska unionen under 2025,https://data.riksdagen.se/dokument/HD03115,https://data.riksdagen.se/dokument/HD01UU10,explicit_citation,document_level_only
HD01UU17:2,2025/26,UU17,2,HD03226,2025/26:226,Riksrevisionens rapport om Sidas arbete med det humanitära biståndet,https://data.riksdagen.se/dokument/HD03226,https://data.riksdagen.se/dokument/HD01UU17,explicit_citation,document_level_only
HD01UU18:1,2025/26,UU18,1,HD03228,2025/26:228,Ett modernt och anpassat regelverk för krigsmateriel,https://data.riksdagen.se/dokument/HD03228,https://data.riksdagen.se/dokument/HD01UU18,explicit_citation,document_level_only
HD01UU18:2,2025/26,UU18,2,HD03228,2025/26:228,Ett modernt och anpassat regelverk för krigsmateriel,https://data.riksdagen.se/dokument/HD03228,https://data.riksdagen.se/dokument/HD01UU18,explicit_citation,document_level_only
HD01UU19:3,2025/26,UU19,3,HD03151,2025/26:151,Verksamheten inom Nato under helåret 2025,https://data.riksdagen.se/dokument/HD03151,https://data.riksdagen.se/dokument/HD01UU19,explicit_citation,document_level_only
HD01UU22:1,2025/26,UU22,1,HD03249,2025/26:249,"Avtal om fördjupat partnerskap och samarbete mellan Europeiska unionen och dess medlemsstater, å ena sidan, och Republiken Uzbekistan, å andra sidan",https://data.riksdagen.se/dokument/HD03249,https://data.riksdagen.se/dokument/HD01UU22,explicit_citation,document_level_only
HD01UU23:1,2025/26,UU23,1,HD03248,2025/26:248,"Avtal om fördjupat partnerskap och samarbete mellan Europeiska unionen och dess medlemsstater, å ena sidan, och Republiken Kirgizistan, å andra sidan",https://data.riksdagen.se/dokument/HD03248,https://data.riksdagen.se/dokument/HD01UU23,explicit_citation,document_level_only
HD01UU24:1,2025/26,UU24,1,HD03290,2025/26:290,Sveriges utrikes underrättelsetjänst,https://data.riksdagen.se/dokument/HD03290,https://data.riksdagen.se/dokument/HD01UU24,explicit_citation,document_level_only
HD01UU3:6,2025/26,UU3,6,HD0397,2025/26:97,Fördjupad resultatredovisning av internationellt bistånd - Ukraina,https://data.riksdagen.se/dokument/HD0397,https://data.riksdagen.se/dokument/HD01UU3,explicit_citation,document_level_only
HD01UU4:4,2025/26,UU4,4,HD0390,2025/26:90,Nordiskt samarbete 2025,https://data.riksdagen.se/dokument/HD0390,https://data.riksdagen.se/dokument/HD01UU4,explicit_citation,document_level_only
HD01UU9:4,2025/26,UU9,4,HD03114,2025/26:114,Strategisk exportkontroll 2025 - krigsmateriel och produkter med dubbla användningsområden,https://data.riksdagen.se/dokument/HD03114,https://data.riksdagen.se/dokument/HD01UU9,explicit_citation,document_level_only
